159826,Spanish Championship 22768,Standard Game World,24,5,Getafe CF,653.6,131.5,31,87.277777777778,0
159826,Spanish Championship 22768,Standard Game World,24,5,Granada CF,717.4,88.0,33,84.388888888889,0
159826,Spanish Championship 22768,Standard Game World,24,5,RCD Espanyol,743.9,120.7,42,86.722222222222,0
180306,Spanish Championship 25434,Standard Game World,23,2,Real Madrid,926.1,371.0,67,92.777777777778,2
180306,Spanish Championship 25434,Standard Game World,23,2,Barcelona,495.3,418.3,67,93.388888888889,2
180306,Spanish Championship 25434,Standard Game World,23,2,Atlético Madrid,546.2,254.3,42,91.055555555556,0
180306,Spanish Championship 25434,Standard Game World,23,2,Athletic Club,688.1,166.3,50,88.222222222222,0
180306,Spanish Championship 25434,Standard Game World,23,2,Valencia CF,914.0,153.0,36,87.777777777778,0
180306,Spanish Championship 25434,Standard Game World,23,2,Real Betis,750.0,142.2,34,88.444444444444,0
180306,Spanish Championship 25434,Standard Game World,23,2,Celta Vigo,676.9,116.4,38,86.722222222222,0
180306,Spanish Championship 25434,Standard Game World,23,2,Levante UD,735.4,94.1,27,85.055555555556,0
180306,Spanish Championship 25434,Standard Game World,23,2,Real Sociedad,682.9,177.6,48,88.277777777778,0
180306,Spanish Championship 25434,Standard Game World,23,2,RCD Espanyol,727.9,100.1,37,85.555555555556,0
180306,Spanish Championship 25434,Standard Game World,23,2,Granada CF,699.2,87.0,33,84.388888888889,0
391252,Spanish Championship 29779,Standard Game World,10,5,Real Madrid,268.5,619.7,29,94.111111111111,2
82002,Spanish Championship 7497,Standard Game World,26,6,Málaga CF,120.3,655.7,72,92.611111111111,2
82002,Spanish Championship 7497,Standard Game World,26,6,Valencia CF,699.2,130.9,37,87.222222222222,0
82002,Spanish Championship 7497,Standard Game World,26,6,Celta Vigo,618.4,142.1,44,87.444444444444,0
82002,Spanish Championship 7497,Standard Game World,26,6,Levante UD,678.1,88.4,27,84.444444444444,0
82002,Spanish Championship 7497,Standard Game World,26,6,Athletic Club,634.8,165.3,51,88.055555555556,0
82002,Spanish Championship 7497,Standard Game World,26,6,Getafe CF,640.0,162.3,36,88.555555555556,0
106595,Spanish Championship 11768,Standard Game World,25,3,Real Sporting,889.3,56.1,23,81.833333333333,0
106595,Spanish Championship 11768,Standard Game World,25,3,Málaga CF,694.3,59.2,27,82.833333333333,0
65634,Spanish Championship 5286,Standard Game World,27,12,Real Sociedad,151.0,696.4,109,91.222222222222,2
77927,Spanish Championship 6888,Standard Game World,26,2,Barcelona,2128.8,463.6,22,92.833333333333,2
231528,Spanish Championship 28046,Standard Game World,20,3,RC Deportivo,746.2,29.9,29,79.0,0
61554,Spanish Championship 5049,Standard Game World,28,2,Real Madrid,857.4,206.2,59,90.611111111111,0
61554,Spanish Championship 5049,Standard Game World,28,2,Sevilla,620.6,205.6,46,89.888888888889,0
61554,Spanish Championship 5049,Standard Game World,28,2,Villarreal CF,627.3,219.5,43,89.333333333333,0
61554,Spanish Championship 5049,Standard Game World,28,2,Real Sociedad,667.4,188.4,51,88.777777777778,0
61554,Spanish Championship 5049,Standard Game World,28,2,Celta Vigo,768.3,134.3,42,87.111111111111,0
61554,Spanish Championship 5049,Standard Game World,28,2,Levante UD,764.4,89.6,26,85.111111111111,0
61554,Spanish Championship 5049,Standard Game World,28,2,RCD Espanyol,771.2,114.7,40,86.055555555556,0
61554,Spanish Championship 5049,Standard Game World,28,2,Granada CF,661.4,92.7,34,84.833333333333,0
61554,Spanish Championship 5049,Standard Game World,28,2,Valencia CF,1466.1,112.0,33,86.111111111111,0
61554,Spanish Championship 5049,Standard Game World,28,2,Athletic Club,774.4,164.4,51,88.0,0
84084,Spanish Championship 7804,Standard Game World,26,7,Barcelona,422.4,362.8,70,91.388888888889,0
84084,Spanish Championship 7804,Standard Game World,26,7,Real Madrid,331.0,435.1,24,93.111111111111,2
84084,Spanish Championship 7804,Standard Game World,26,7,Athletic Club,639.4,180.6,53,88.5,0
84084,Spanish Championship 7804,Standard Game World,26,7,CA Osasuna,622.6,133.5,33,87.611111111111,0
229499,Spanish Championship 27974,Standard Game World,20,3,Real Madrid,744.5,295.2,62,91.5,2
229499,Spanish Championship 27974,Standard Game World,20,3,Sevilla,651.6,155.1,42,89.555555555556,0
229499,Spanish Championship 27974,Standard Game World,20,3,Real Sociedad,691.9,185.9,50,88.666666666667,0
229499,Spanish Championship 27974,Standard Game World,20,3,Real Betis,771.0,158.8,36,88.722222222222,0
229499,Spanish Championship 27974,Standard Game World,20,3,Valencia CF,931.0,109.8,33,86.277777777778,0
229499,Spanish Championship 27974,Standard Game World,20,3,Levante UD,756.2,81.8,25,84.555555555556,0
229499,Spanish Championship 27974,Standard Game World,20,3,Granada CF,707.2,86.1,33,84.388888888889,0
229499,Spanish Championship 27974,Standard Game World,20,3,Athletic Club,771.7,146.0,48,87.888888888889,0
229499,Spanish Championship 27974,Standard Game World,20,3,RCD Espanyol,697.1,123.4,40,86.333333333333,0
229499,Spanish Championship 27974,Standard Game World,20,3,Celta Vigo,669.7,121.6,40,87.111111111111,0
229499,Spanish Championship 27974,Standard Game World,20,3,Real Valladolid,729.7,98.7,38,85.166666666667,0
237692,Spanish Championship 28320,Standard Game World,18,2,Atlético Madrid,125.4,735.2,36,95.222222222222,2
237692,Spanish Championship 28320,Standard Game World,18,2,Real Sporting,932.5,435.0,58,92.111111111111,2
237692,Spanish Championship 28320,Standard Game World,18,2,Real Sociedad,565.0,186.5,50,89.166666666667,0
237692,Spanish Championship 28320,Standard Game World,18,2,Sevilla,622.7,157.4,43,89.611111111111,0
237692,Spanish Championship 28320,Standard Game World,18,2,Real Madrid,782.3,105.5,45,83.611111111111,0
237692,Spanish Championship 28320,Standard Game World,18,2,Celta Vigo,822.9,116.4,39,86.722222222222,0
237692,Spanish Championship 28320,Standard Game World,18,2,Valencia CF,1196.1,117.5,33,86.555555555556,0
237692,Spanish Championship 28320,Standard Game World,18,2,Getafe CF,651.4,130.0,28,86.944444444444,0
237692,Spanish Championship 28320,Standard Game World,18,2,Real Betis,791.1,142.2,34,88.444444444444,0
237692,Spanish Championship 28320,Standard Game World,18,2,Levante UD,682.4,90.0,26,84.611111111111,0
237692,Spanish Championship 28320,Standard Game World,18,2,RCD Espanyol,671.1,104.7,39,85.833333333333,0
75945,Spanish Championship 6609,Standard Game World,26,2,Athletic Club,592.1,169.4,49,88.222222222222,0
75945,Spanish Championship 6609,Standard Game World,26,2,Valencia CF,810.0,117.1,33,87.222222222222,0
389303,Spanish Championship 29741,Standard Game World,10,3,Real Madrid,458.2,704.7,47,93.888888888889,2
389303,Spanish Championship 29741,Standard Game World,10,3,Athletic Club,640.7,152.4,49,88.333333333333,0
129211,Spanish Championship 16792,Standard Game World,25,5,Real Zaragoza,979.2,54.1,27,81.722222222222,0
157881,Spanish Championship 22570,Standard Game World,24,7,Barcelona,291.8,542.4,26,93.5,2
157881,Spanish Championship 22570,Standard Game World,24,7,Real Sporting,997.7,313.9,28,91.166666666667,2
157881,Spanish Championship 22570,Standard Game World,24,7,Valencia CF,839.7,162.6,39,88.111111111111,0
157881,Spanish Championship 22570,Standard Game World,24,7,Levante UD,708.7,119.8,29,85.777777777778,0
157881,Spanish Championship 22570,Standard Game World,24,7,Celta Vigo,669.7,159.3,42,87.611111111111,0
157881,Spanish Championship 22570,Standard Game World,24,7,RCD Espanyol,696.1,135.2,43,86.444444444444,0
157881,Spanish Championship 22570,Standard Game World,24,7,Athletic Club,597.4,182.9,53,88.611111111111,0
100538,Spanish Championship 10350,Standard Game World,26,5,Real Sociedad,671.7,183.3,52,88.666666666667,0
100538,Spanish Championship 10350,Standard Game World,26,5,Real Betis,602.3,156.8,36,89.055555555556,0
100538,Spanish Championship 10350,Standard Game World,26,5,Celta Vigo,671.1,147.0,42,87.555555555556,0
100538,Spanish Championship 10350,Standard Game World,26,5,Athletic Club,710.1,163.9,51,88.555555555556,0
100538,Spanish Championship 10350,Standard Game World,26,5,Levante UD,684.1,103.8,26,85.0,0
100538,Spanish Championship 10350,Standard Game World,26,5,RCD Espanyol,654.1,114.6,42,86.666666666667,0
145596,Spanish Championship 20211,Standard Game World,24,2,Real Madrid,778.6,236.4,60,91.111111111111,0
145596,Spanish Championship 20211,Standard Game World,24,2,Barcelona,881.1,236.4,55,90.5,0
145596,Spanish Championship 20211,Standard Game World,24,2,Real Betis,679.9,169.3,36,88.888888888889,0
145596,Spanish Championship 20211,Standard Game World,24,2,Valencia CF,756.6,109.1,32,86.111111111111,0
145596,Spanish Championship 20211,Standard Game World,24,2,FC Cartagena,467.8,346.9,30,92.166666666667,2
129214,Spanish Championship 16793,Standard Game World,25,2,Valencia CF,557.2,319.5,43,91.888888888889,0
129214,Spanish Championship 16793,Standard Game World,25,2,Real Madrid,816.5,772.4,87,94.055555555556,2
129214,Spanish Championship 16793,Standard Game World,25,2,Real Sociedad,705.1,186.0,49,88.388888888889,0
129214,Spanish Championship 16793,Standard Game World,25,2,Real Betis,804.2,142.2,34,88.444444444444,0
129214,Spanish Championship 16793,Standard Game World,25,2,RCD Espanyol,767.7,100.2,39,85.833333333333,0
129214,Spanish Championship 16793,Standard Game World,25,2,Granada CF,842.5,86.1,33,84.388888888889,0
129214,Spanish Championship 16793,Standard Game World,25,2,Athletic Club,683.7,156.1,49,88.0,0
129214,Spanish Championship 16793,Standard Game World,25,2,Celta Vigo,813.2,119.3,40,86.888888888889,0
129214,Spanish Championship 16793,Standard Game World,25,2,Levante UD,764.1,77.3,26,84.555555555556,0
129214,Spanish Championship 16793,Standard Game World,25,2,Málaga CF,964.9,75.2,31,83.555555555556,0
100563,Spanish Championship 10356,Standard Game World,26,4,Real Madrid,370.4,681.9,54,94.222222222222,2
100563,Spanish Championship 10356,Standard Game World,26,4,Sevilla,681.6,166.6,44,89.833333333333,2
100563,Spanish Championship 10356,Standard Game World,26,4,Real Sociedad,714.7,181.1,48,88.666666666667,0
100563,Spanish Championship 10356,Standard Game World,26,4,Valencia CF,902.7,115.1,33,86.444444444444,0
100563,Spanish Championship 10356,Standard Game World,26,4,Real Betis,597.4,158.1,35,88.888888888889,0
100563,Spanish Championship 10356,Standard Game World,26,4,Levante UD,728.4,87.8,26,85.055555555556,0
100563,Spanish Championship 10356,Standard Game World,26,4,Athletic Club,647.5,146.0,48,87.888888888889,0
100563,Spanish Championship 10356,Standard Game World,26,4,Celta Vigo,644.5,117.0,39,86.888888888889,0
100563,Spanish Championship 10356,Standard Game World,26,4,Getafe CF,756.3,102.0,27,86.5,0
100563,Spanish Championship 10356,Standard Game World,26,4,Málaga CF,795.3,63.6,28,83.333333333333,0
141533,Spanish Championship 19398,Standard Game World,24,6,Real Madrid,778.1,736.9,42,94.444444444444,2
141533,Spanish Championship 19398,Standard Game World,24,6,Real Sociedad,602.3,187.7,50,88.666666666667,0
141533,Spanish Championship 19398,Standard Game World,24,6,Real Betis,615.1,140.1,34,88.444444444444,0
141533,Spanish Championship 19398,Standard Game World,24,6,RCD Espanyol,659.7,103.1,40,85.833333333333,0
141533,Spanish Championship 19398,Standard Game World,24,6,Levante UD,739.5,81.8,24,84.388888888889,0
141533,Spanish Championship 19398,Standard Game World,24,6,CA Osasuna,614.8,173.4,32,87.944444444444,2
141533,Spanish Championship 19398,Standard Game World,24,6,Real Sporting,958.9,54.4,26,82.055555555556,0
237806,Spanish Championship 28324,Standard Game World,18,8,Barcelona,111.5,770.7,80,94.111111111111,2
237806,Spanish Championship 28324,Standard Game World,18,8,Girona FC,123.4,753.3,82,92.388888888889,2
237806,Spanish Championship 28324,Standard Game World,18,8,UD Las Palmas,693.5,73.6,32,82.777777777778,0
237806,Spanish Championship 28324,Standard Game World,18,8,Atlético Madrid,897.4,286.5,34,91.277777777778,2
237806,Spanish Championship 28324,Standard Game World,18,8,Athletic Club,802.4,130.9,45,87.222222222222,0
237806,Spanish Championship 28324,Standard Game World,18,8,Celta Vigo,654.9,119.6,39,86.888888888889,0
